title,url,content,publisher,source,date
"Heavy snowfall hits residential area in Lake View, New York",https://www.reuters.com/video/watch/idRW690413122024RP1/,8 hours ago ... Climate change could delay monarch butterflies ... Airplane fuselages await shipment at Spirit AeroSystems headquarters in Wichita.,www.reuters.com,www.reuters.com,Unknown date
"Americans are sour on tariffs if they spark inflation, Reuters/Ipsos ...",https://www.reuters.com/world/us/americans-are-sour-tariffs-if-they-spark-inflation-reutersipsos-poll-finds-2024-12-13/,3 hours ago ... Shipping containers at Pier J at the Port of Long ... Georgian opposition supporters protest against government's EU application delay.,www.reuters.com,www.reuters.com,Unknown date
Kyiv ready to supply food to Syria as Russia supplies suspended ...,https://www.reuters.com/world/kyiv-ready-supply-food-syria-russia-supplies-suspended-2024-12-13/,"28 minutes ago ... Ukraine, a global producer and exporter of grain and oilseeds, is ready to supply food to Syria following the fall of Bashar al-Assad, ...",www.reuters.com,www.reuters.com,Unknown date
China says US politicians need to be more rational after senator's ...,https://www.reuters.com/world/asia-pacific/china-says-us-politicians-need-be-more-rational-after-senators-call-garlic-probe-2024-12-13/,"5 hours ago ... Any punitive action on Chinese garlic alone is unlikely to rock overall bilateral trade, with shipments ... All quotes delayed a minimum of 15 ...",www.reuters.com,www.reuters.com,Unknown date
"Trump tariffs endanger struggling US trucking industry, experts say ...",https://www.reuters.com/business/autos-transportation/trump-tariffs-could-intensify-us-trucking-industry-slump-experts-say-2024-12-13/,"3 hours ago ... Less demand equals less freight,"" said Jason Miller, interim chair of the department of supply-chain management at Michigan State University's ...",www.reuters.com,www.reuters.com,Unknown date
Trump backs ILA on automation concerns | Supply Chain Dive,https://www.supplychaindive.com/news/trump-meet-ila-president-harold-daggett-automation/735476/,"13 hours ago ... Days of a port strike could mean weeks of manufacturing delays ... Dockworkers move cargo on a container terminal. Sep 19, 2024. 'One ...",www.supplychaindive.com,www.supplychaindive.com,Unknown date
Authorities to attempt to reopen Mosel river in Germany to shipping ...,https://www.reuters.com/world/europe/authorities-attempt-reopen-mosel-river-germany-shipping-2024-12-13/,"5 hours ago ... About 70 ships are blocked on the river, which is also an important route for supply shipments to the metal industry. European rapeseed futures ...",www.reuters.com,www.reuters.com,Unknown date
China's CATL offers suppliers financial support to drive battery ...,https://www.reuters.com/business/energy/chinas-catl-offers-suppliers-financial-support-drive-battery-innovation-2024-12-13/,7 hours ago ... CATL Chairman Robin Zeng told Reuters in an interview in November that he recognised the importance of a profitable supply chain with every ...,www.reuters.com,www.reuters.com,Unknown date
Exclusive: Russian grain exports to Syria suspended due to ...,https://www.reuters.com/markets/commodities/russian-grain-exports-syria-suspended-due-uncertainty-about-future-sources-say-2024-12-13/,"1 hour ago ... ... delays, Russian and Syrian sources said on Friday. Shipping data showed two vessels carrying Russia wheat intended for Syria had not reached ...",www.reuters.com,www.reuters.com,Unknown date
Trump signals support for US dockworkers in stalled labor talks ...,https://www.reuters.com/world/us/trump-says-automation-causes-more-harm-longshoremen-than-its-worth-2024-12-12/,"12 hours ago ... Employers, which include the U.S. operations of Switzerland's Mediterranean Shipping ... All quotes delayed a minimum of 15 minutes. See here for ...",www.reuters.com,www.reuters.com,Unknown date
CNN Business Briefing | CNN Business,https://www.cnn.com/business/cnn-business-briefing,"15 hours ago ... Shipping containers and gantry cranes are seen at Qingdao port in Qingdao, in ... delay quarterly earnings due to employee hiding up to $154 million in ...",www.cnn.com,www.cnn.com,Unknown date
Exclusive: Russian grain exports to Syria suspended due to ...,https://www.reuters.com/markets/commodities/russian-grain-exports-syria-suspended-due-uncertainty-2024-12-13/,"4 minutes ago ... ... delays, Russian and Syrian sources said on Friday, while two vessels ... Shipping data shows one vessel, the Mikhail Nenashev, is ...",www.reuters.com,www.reuters.com,Unknown date
