source,publisher,title,content,language,date
lanoticiadigital,Dufan Houghton,"Unlock Your Green Ride! Thousands Can Get Up to $2,000 for E-Bikes","Exciting news for environmentally conscious Californians! A groundbreaking statewide program set to launch next week will provide financial support to eligible residents looking to upgrade to electric bicycles. This initiative, known as the California E-bike Incentive Project, aims to reduce pollution and enhance transportation accessibility across the state. The program is specifically designed for low-income households, ensuring that financial barriers do not hinder the shift towards sustainable transportation alternatives. The California Air Resources Board emphasized the importance of...",es,2024-12-13T14:00:38+00:00
krdo,Scott Harrison,"Fountain bridge report: None in poor condition, more focus on minor bridges, one CDOT bridge facing eventual replacement","FOUNTAIN, Colo. (KRDO) -- When compared with other southern Colorado cities, the bridge situation here seems better than most. Robert McDonald, the city's transportation director, said that its seven major bridges are in good shape. ""Our major bridges are inspected by the Colorado Department of Transportation (CDOT) every two years,"" he said. ""And we've receivedThe post Fountain bridge report: None in poor condition, more focus on minor bridges, one CDOT bridge facing eventual replacement appeared first on KRDO.",en,2024-12-13T13:58:12+00:00
lulegacy,,"Inspire Trust Co. N.A. Boosts Stake in Delta Air Lines, Inc. (NYSE:DAL)","Inspire Trust Co. N.A. increased its stake in Delta Air Lines, Inc. (NYSE:DAL - Free Report) by 55.1% during the 3rd quarter, according to its most recent disclosure with the Securities and Exchange Commission. The fund owned 53,480 shares of the transportation company's stock after purchasing an a",en,2024-12-13T13:50:20+00:00
lulegacy,,"United Parcel Service, Inc. (NYSE:UPS) Shares Bought by Inspire Trust Co. N.A.","Inspire Trust Co. N.A. lifted its stake in shares of United Parcel Service, Inc. (NYSE:UPS - Free Report) by 27.0% during the third quarter, according to the company in its most recent filing with the Securities &amp; Exchange Commission. The firm owned 24,500 shares of the transportation company's",en,2024-12-13T13:50:14+00:00
armradio,Siranush Ghazanchyan,Armenian PM notes the importance of transport and logistics potential within EAEU,"The development of transport and logistics potential within the EAEU is of key importance for Armenia, Prime Minister Nikol Pashinyan stated at a meeting of the Eurasian Intergovernmental Council in Moscow &#8220;Another key topic is the development of the transport and logistics potential of the EAEU, where the capabilities of the member states are not &#8230;",en,2024-12-13T13:48:56+00:00
lulegacy,,"American Trust Sells 3,308 Shares of J.B. Hunt Transport Services, Inc. (NASDAQ:JBHT)","American Trust reduced its stake in J.B. Hunt Transport Services, Inc. (NASDAQ:JBHT - Free Report) by 19.4% in the 3rd quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission. The institutional investor owned 13,769 shares of the transportation c",en,2024-12-13T13:34:11+00:00
lulegacy,,"Franklin Resources Inc. Has $1.28 Billion Position in United Parcel Service, Inc. (NYSE:UPS)","Franklin Resources Inc. reduced its holdings in shares of United Parcel Service, Inc. (NYSE:UPS - Free Report) by 9.7% in the third quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission. The firm owned 9,495,457 shares of the transportation comp",en,2024-12-13T13:24:27+00:00
lulegacy,,"Synovus Financial Corp Raises Stock Holdings in United Parcel Service, Inc. (NYSE:UPS)","Synovus Financial Corp boosted its stake in United Parcel Service, Inc. (NYSE:UPS - Free Report) by 8.6% during the third quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The institutional investor owned 87,531 shares of the transportation co",en,2024-12-13T13:02:32+00:00
cyprus-mail,,Countdown for transport ministry’s acceptable proposal for Larnaca port,"The transport ministry has until 3pm to give “something tangible” to the Larnaca development committee that will convince the members to call off Saturday’s protest at the city’s port, opposing the appointment of an administrator. “We don’t agree with an administrator being appointed” for the port, Larnaca’s deputy mayor Iasonas Iasonides told the Cyprus Mail. [&#8230;]",en,2024-12-13T12:51:35+00:00
lanoticiadigital,Faylin Quibbs,AI Prevents Disaster! Chapel Hill’s New Buses Under Scrutiny.,"In Chapel Hill, North Carolina, a recent bus fire incident has sparked a conversation about the role of technology in public transportation safety. The fire, which broke out on one of Chapel Hill&#8217;s older public buses, was closely monitored and controlled thanks to the timely intervention of advanced artificial intelligence (AI) systems. The AI&#8217;s real-time diagnostic system detected the fire risk early, alerting the driver and automatically engaging the bus’s built-in fire suppression system. This incident highlights a growing trend in public transportation: the integration of AI...",es,2024-12-13T12:45:33+00:00
