city,date,temperature,humidity,weather
Chennai,2024-12-13,26.43,82,scattered clouds
Chennai,2024-12-13,25.96,79,broken clouds
Chennai,2024-12-13,25.29,76,broken clouds
Chennai,2024-12-14,24.4,75,broken clouds
Chennai,2024-12-14,26.26,67,overcast clouds
Chennai,2024-12-14,27.45,61,broken clouds
Chennai,2024-12-14,27.17,61,clear sky
Chennai,2024-12-14,25.93,65,few clouds
Chennai,2024-12-14,25.34,67,broken clouds
Chennai,2024-12-14,24.92,69,broken clouds
Chennai,2024-12-14,24.35,72,overcast clouds
Chennai,2024-12-15,23.87,73,overcast clouds
Chennai,2024-12-15,26.09,66,scattered clouds
Chennai,2024-12-15,27.36,59,scattered clouds
Chennai,2024-12-15,27.09,61,few clouds
Chennai,2024-12-15,25.72,65,broken clouds
Chennai,2024-12-15,25.16,68,overcast clouds
Chennai,2024-12-15,24.48,69,overcast clouds
Chennai,2024-12-15,23.3,74,overcast clouds
Chennai,2024-12-16,22.79,76,overcast clouds
Chennai,2024-12-16,23.93,73,overcast clouds
Chennai,2024-12-16,26.76,62,overcast clouds
Chennai,2024-12-16,26.35,64,overcast clouds
Chennai,2024-12-16,24.95,72,overcast clouds
Chennai,2024-12-16,24.48,73,overcast clouds
Chennai,2024-12-16,23.87,71,light rain
Chennai,2024-12-16,22.37,75,light rain
Chennai,2024-12-17,20.11,88,moderate rain
Chennai,2024-12-17,20.8,81,light rain
Chennai,2024-12-17,20.31,88,moderate rain
Chennai,2024-12-17,22.89,93,heavy intensity rain
Chennai,2024-12-17,23.15,94,heavy intensity rain
Chennai,2024-12-17,24.32,89,moderate rain
Chennai,2024-12-17,24.56,85,light rain
Chennai,2024-12-17,24.83,83,light rain
Chennai,2024-12-18,24.75,85,light rain
Chennai,2024-12-18,23.89,88,light rain
Chennai,2024-12-18,25.01,86,light rain
Chennai,2024-12-18,25.45,86,light rain
Chennai,2024-12-18,24.28,91,light rain
Mumbai,2024-12-13,26.99,47,few clouds
Mumbai,2024-12-13,26.71,49,scattered clouds
Mumbai,2024-12-13,25.4,45,scattered clouds
Mumbai,2024-12-14,23.81,44,broken clouds
Mumbai,2024-12-14,23.55,43,overcast clouds
Mumbai,2024-12-14,26.28,41,overcast clouds
Mumbai,2024-12-14,28.25,42,broken clouds
Mumbai,2024-12-14,26.52,55,broken clouds
Mumbai,2024-12-14,26.18,61,few clouds
Mumbai,2024-12-14,26.07,55,clear sky
Mumbai,2024-12-14,24.81,46,scattered clouds
Mumbai,2024-12-15,23.93,42,broken clouds
Mumbai,2024-12-15,23.53,39,scattered clouds
Mumbai,2024-12-15,26.23,35,few clouds
Mumbai,2024-12-15,27.84,36,clear sky
Mumbai,2024-12-15,26.17,55,clear sky
Mumbai,2024-12-15,26.01,59,clear sky
Mumbai,2024-12-15,25.64,58,clear sky
Mumbai,2024-12-15,24.88,47,clear sky
Mumbai,2024-12-16,23.93,37,few clouds
Mumbai,2024-12-16,23.42,36,scattered clouds
Mumbai,2024-12-16,26.34,33,few clouds
Mumbai,2024-12-16,27.52,38,clear sky
Mumbai,2024-12-16,25.93,54,clear sky
Mumbai,2024-12-16,25.56,61,clear sky
Mumbai,2024-12-16,25.07,58,clear sky
Mumbai,2024-12-16,24.51,48,clear sky
Mumbai,2024-12-17,23.64,46,clear sky
Mumbai,2024-12-17,23.83,38,scattered clouds
Mumbai,2024-12-17,25.86,30,broken clouds
Mumbai,2024-12-17,25.82,44,scattered clouds
Mumbai,2024-12-17,25.15,55,broken clouds
Mumbai,2024-12-17,25.24,60,overcast clouds
Mumbai,2024-12-17,24.83,57,overcast clouds
Mumbai,2024-12-17,24.29,50,overcast clouds
Mumbai,2024-12-18,23.87,46,overcast clouds
Mumbai,2024-12-18,23.48,42,overcast clouds
Mumbai,2024-12-18,25.17,34,broken clouds
Mumbai,2024-12-18,25.66,41,few clouds
Mumbai,2024-12-18,24.96,53,scattered clouds
Delhi,2024-12-13,15.05,41,few clouds
Delhi,2024-12-13,15.73,32,scattered clouds
Delhi,2024-12-13,15.34,25,clear sky
Delhi,2024-12-14,14.18,20,clear sky
Delhi,2024-12-14,14.13,20,clear sky
Delhi,2024-12-14,18.87,15,clear sky
Delhi,2024-12-14,22.73,10,clear sky
Delhi,2024-12-14,21.61,11,clear sky
Delhi,2024-12-14,18.99,13,clear sky
Delhi,2024-12-14,17.14,13,clear sky
Delhi,2024-12-14,15.71,13,clear sky
Delhi,2024-12-15,14.5,15,clear sky
Delhi,2024-12-15,14.57,15,clear sky
Delhi,2024-12-15,18.92,12,clear sky
Delhi,2024-12-15,22.26,10,clear sky
Delhi,2024-12-15,21.26,11,clear sky
Delhi,2024-12-15,19.18,13,clear sky
Delhi,2024-12-15,17.49,14,clear sky
Delhi,2024-12-15,16.22,14,clear sky
Delhi,2024-12-16,15.0,15,clear sky
Delhi,2024-12-16,15.21,14,clear sky
Delhi,2024-12-16,19.9,11,clear sky
Delhi,2024-12-16,22.63,9,clear sky
Delhi,2024-12-16,21.53,10,clear sky
Delhi,2024-12-16,19.81,12,clear sky
Delhi,2024-12-16,17.92,17,clear sky
Delhi,2024-12-16,16.52,21,clear sky
Delhi,2024-12-17,15.51,25,clear sky
Delhi,2024-12-17,15.9,26,clear sky
Delhi,2024-12-17,20.39,20,clear sky
Delhi,2024-12-17,23.05,14,clear sky
Delhi,2024-12-17,21.9,13,clear sky
Delhi,2024-12-17,20.13,15,clear sky
Delhi,2024-12-17,18.27,19,clear sky
Delhi,2024-12-17,16.64,24,clear sky
Delhi,2024-12-18,15.39,22,clear sky
Delhi,2024-12-18,15.56,17,clear sky
Delhi,2024-12-18,20.07,14,clear sky
Delhi,2024-12-18,22.89,12,clear sky
Delhi,2024-12-18,21.66,12,clear sky
Bengaluru,2024-12-13,22.22,86,broken clouds
Bengaluru,2024-12-13,21.0,89,broken clouds
Bengaluru,2024-12-13,19.3,92,overcast clouds
Bengaluru,2024-12-14,16.98,95,overcast clouds
Bengaluru,2024-12-14,19.33,81,scattered clouds
Bengaluru,2024-12-14,24.35,53,scattered clouds
Bengaluru,2024-12-14,25.83,49,clear sky
Bengaluru,2024-12-14,22.91,62,clear sky
Bengaluru,2024-12-14,19.43,75,clear sky
Bengaluru,2024-12-14,17.31,87,clear sky
Bengaluru,2024-12-14,16.41,91,scattered clouds
Bengaluru,2024-12-15,15.73,91,scattered clouds
Bengaluru,2024-12-15,18.77,70,scattered clouds
Bengaluru,2024-12-15,23.2,54,scattered clouds
Bengaluru,2024-12-15,24.55,48,overcast clouds
Bengaluru,2024-12-15,21.93,59,broken clouds
Bengaluru,2024-12-15,18.65,74,broken clouds
Bengaluru,2024-12-15,17.14,82,broken clouds
Bengaluru,2024-12-15,16.17,84,overcast clouds
Bengaluru,2024-12-16,15.13,83,overcast clouds
Bengaluru,2024-12-16,17.89,67,overcast clouds
Bengaluru,2024-12-16,22.8,40,overcast clouds
Bengaluru,2024-12-16,23.29,39,overcast clouds
Bengaluru,2024-12-16,20.5,53,overcast clouds
Bengaluru,2024-12-16,18.22,62,overcast clouds
Bengaluru,2024-12-16,16.67,70,overcast clouds
Bengaluru,2024-12-16,15.79,69,overcast clouds
Bengaluru,2024-12-17,15.93,62,overcast clouds
Bengaluru,2024-12-17,17.36,58,overcast clouds
Bengaluru,2024-12-17,22.03,49,overcast clouds
Bengaluru,2024-12-17,22.5,56,overcast clouds
Bengaluru,2024-12-17,19.79,70,light rain
